Place_Id,Place_Name,Category,City,Rating,Tags
14,Pulau Pelangi,Bahari,Jakarta,0.8260869565217388,pulau pelangi buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi buah pulau letak pulau ribu daerah khusus ibukota jakarta indonesia pulau pelangi biasa sebut pulau petondan besar pelangi island rupa pulau resort sesuai libur pulau resort punya konsep natural wilayah penuh rimbun pohon sejuk mata indah alam laut layak kunjung keliling rimbun pohon laut berwarana biru jernih buat suasanan sejuk nyaman kondisi ideal wisata sama keluarga akomodasi langsung hadap laut buat turis betah berlamalama pulau pelanginmenurut informasi pulau pelangi pulau petondan besar rupa pulau gugus pulau ribu cara administratif masuk wilayah kabupaten administratif pulau ribu provinsi dki jakarta sama pulau petondan kecil rupa buah resort libur letak dekat gugus sama pulau kelor pulau kelapanuntuk capai pelangi resort butuh waktu menit jalan dermaga pantai mutiara kapal speedboat khusus pier r pantai mutiara bawa tumpang kesana letak km pantai mutiara memang lumayan jauh jalan bayar lunas pulau pelangi bahari
15,Pasar Seni,Pusat Perbelanjaan,Jakarta,0.4782608695652177,pasar seni rupa pusat rajin seni jadi wadah seniman bakat salur rajin seni milik seniman temu kolektor seni usaha saling informasi pasar produk milik diri awal tahun leta batu pertama bang ali sadikin gubernur pertama dki jakarta tepat bulan juli resmi gubernur h tjokropanolo tanggal desember sejak resmi pasar seni sambut positif cinta seni pusat belanja
16,Jembatan Kota Intan,Budaya,Jakarta,0.3913043478260869,jembatan kota intan jembatan tua indonesia bangun tahun perintah vereenigde oostindische compagnie voc masyarakat lebih familiar sebut kumpeni jembatan kini letak kali besar kawasan kota tua wilayah jakarta barat bawah kelola dinas pariwisata budaya provinsi dki jakarta budaya
17,Museum Fatahillah,Budaya,Jakarta,0.4782608695652177,museum fatahillah milik nama resmi museum sejarah jakarta buah museum letak jalan taman fatahillah no jakarta barat luas lebih meter perseginbangunan rupa balai kota batavia bahasa belanda stadhuis van batavia bangun tahun atas perintah gubernurjendral joan van hoorn bangun rupa istana dam amsterdam diri atas bangun utama sayap timur barat bangun sanding bagai kantor ruang adil ruangruang bawah tanah pakai bagai penjara tanggal maret bangun kemudian resmi bapak ali sadikin bagai museum sejarah jakarta budaya
18,Museum Bank Indonesia,Budaya,Jakarta,0.7391304347826089,museum bank indonesia buah museum jakarta indonesia letak jl pintu besar utara no jakarta barat depan stasiun beos kota tempat area bekas gedung bank indonesia kota rupa cagar budaya tinggal de javasche bank alir neoklasikal padu pengaruh lokal bangun pertama kali tahun npada tahun tempat pernah bangun buah gereja sederhana umat protestan tahun gereja bongkar tempat meriam besar puluh ribu tentara sultan agung serang batavia pertama kalimuseum saji informasi peran bank indonesia jalan sejarah bangsa mulai sejak datang bangsa barat nusantara hingga bentuk bank indonesia tahun kebijakankebijakan bank indonesia liput latar belakang dampak bijak bank indonesia masyarakat tahun saji kemas rupa manfaat teknologi modern multi media display elektronik panel statik televisi plasma diorama cipta nyaman unjung nikmat museum bank indonesia pula fakta koleksi benda sejarah masa bentuk bank indonesia masa kerajaankerajaan nusantara upa koleksi uang numismatik tampil cara menariknperesmian museum bank indonesia laku lalu tahap resmi tahap i mulai buka masyarakat soft opening tanggal desember gubernur bank indonesia burhanuddin abdullah resmi tahap ii grand opening presiden ri susilo bambang yudhoyono tanggal juli nmuseum bank indonesia buka tiap hari senin hari libur nasional budaya
19,Kidzania,Taman Hiburan,Jakarta,0.652173913043478,kidzania buah waralaba swasta meksiko upa pusat hibur keluarga operasi lokasi mungkin anakanak laku kerja orang dewasa bayar kidzania kunjung lebih juta unjung seluruh dunia sejak buka jadi salah satu merek hibur global paling cepat kembang dunia taman hibur
20,Museum Taman Prasasti,Budaya,Jakarta,0.5652173913043481,museum taman prasasti buah museum cagar budaya tinggal masa kolonial belanda jalan tanah abang no jakarta pusat museum milik koleksi prasasti nisan kuno miniatur makam khas provinsi indonesia koleksi kereta jenazah antik museum luas ha rupa museum buka tampil karya seni masa lampau canggih patung pahat kaligrafer sastrawan satu budaya
21,Museum Wayang,Budaya,Jakarta,0.5652173913043481,museum wayang buah museum lokasi jalan pintu besar utara nomor jakarta barat budaya
22,Masjid Istiqlal,Tempat Ibadah,Jakarta,0.7391304347826089,masjid istiqlal arti harfiah masjid merdeka masjid nasional negara republik indonesia letak bekas taman wilhelmina timur laut lapang medan merdeka tengah diri monumen nasional monas pusat ibukota jakarta masjid rupa salah satu masjid besar kapasitas dunia tampung lebih jamaah seberang timur masjid diri gereja katedral jakarta ketua hari badan kelola masjid istiqlal bpmi sekaligus imam besar masjid istiqlal prof dr nasaruddin umar ma bangun masjid prakarsa presiden republik indonesia ir soekarno leta batu pertama bagai tanda mula bangun masjid istiqlal laku ir soekarno tanggal agustus arsitek masjid istiqlal frederich silaban orang nasranimasjid milik gaya arsitektur modern dinding lantai lap marmer hias ornamen geometrik baja antikarat bangun utama masjid diri lima lantai satu lantai dasar bangun utama mahkota satu kubah besar diameter meter topang tiang besar menara tunggal setinggi total meter julang sudut selatan selasar masjid masjid mampu tampung lebih jamaahselain bagai aktivitas ibadah umat islam masjid bagai kantor bagai organisasi islam indonesia aktivitas sosial giat umum masjid jadi salah satu daya tarik wisata kenal jakarta banyak wisatawan kunjung umum wisatawan domestik samping wisatawan asing agama islam masyarakat nonmuslim dapat kunjung masjid dapat bekal informasi kena islam masjid istiqlal meski kunjung kaum nonmuslim batas damping pemandunpada tiap hari besar islam ramadhan idul fitri idul adha tahun baru hijriyah maulid nabi muhammad isra miraj presiden republik indonesia selalu giat agama masjid siar cara langsung lalu televisi nasional tvri televisi swasta tempat ibadah
23,Gereja Katedral,Tempat Ibadah,Jakarta,0.8260869565217388,gereja katedral jakarta nama resmi gereja santa maria angkat surga bahasa jerman de kerk van onze lieve vrouwe ten hemelopneming bahasa inggris the church of our lady of the assumption buah gereja jakarta gedung gereja resmi bangun arsitektur neogotik eropa arsitektur sangat lazim bangun gedung gereja beberapa abad lalu tempat ibadah
24,Museum Nasional,Budaya,Jakarta,0.652173913043478,museum nasional republik indonesia museum gajah buah museum arkeologi sejarah etnografi geografi letak jakarta pusat persis jalan merdeka barat museum rupa museum pertama besar asia tenggara budaya
25,Pasar Tanah Abang,Pusat Perbelanjaan,Jakarta,0.1304347826086958,pasar tanah abang pasar sabtu bangun yustinus vinck agustus yustinus vinck diri pasar tanah abang pasar atas izin gubernur jenderal abraham patramini izin beri pasar tanah abang jual tekstil barang kelontong buka tiap hari sabtu itu pasar sebut pasar sabtu pasar mampu saing pasar senen welter vreden lebih dulu majunpada tahun jadi peristiwa geger pecinan bantai orangorang tionghoa rusa harta benda masuk pasar tanah abang diporakporandakan bakar tahun pasar tanah abang bangun tadi buka hari sabtu tambah hari rabu pasar tanah abang buka kali minggu bangun pasar mula sangat sederhanaterdiri dinding bambu papan atap rumbia papan petak bambu pasar tanah abang terus alami baik hingga akhir abad lantai mulai keras pondasi adu tahun pasar tanah abang baik tahun perintah batavia bongkar pasar tanah abang ganti bangun permanen upa tiga los panjang tembok papan atap genteng kantor pasar atas bangun pasar mirip kandang burung latar parkir depan pasar jadi tempat parkir kudakuda tarik delman gerobak situ sedia kobak air cukup besar seberang jalan toko khusus jual dedak makan kuda beberapa puluh meter toko dedak buah gang kenal bagai gang madat tempat lokalisasi pemadatnpada zaman duduk jepang pasar hampir fungsi jadi tempat gelandangannpasar tanah abang makin kembang bangun stasiun tanah abang tempat sebut mulai bangun tempattempat masjid al makmur klenteng hok tek tjen sien usia pasar tanah abang tahun pasar tanah abang remaja ganti bangun lantai empat alami kali bakar pertama tanggal desember blok a lantai tiga dua timpa blok b tanggal agustus tahun catat kios buah dagang pusat belanja
26,Pecinan Glodok,Pusat Perbelanjaan,Jakarta,0.3913043478260869,kawasan glodok kenal bagai pusat dagang elektronik sendiri rupa bekas penjara glodok angker lokasi seberang glodokpancoran kawasan harco jadi rusuh mei kawasan sempat jadi pusat belanja elektronik wisatawan jepang taiwan hongkong pinangsia masyarakat temu produk lengkap rumah tangga bangun wisata belanja pecinan glodokpancoran rupa situs sejarah awal mula kota jakarta etnis tionghoa mukim bangun bisnis kebun tebu batavia mulai kembang pesat pusat belanja
27,Sea World,Taman Hiburan,Jakarta,0.5652173913043481,seaworld indonesia buah miniatur pesona laut kompleks wisata pertama taman impi jaya ancolnpada tanggal oktober gubernur dki masa wiyogo atmodarminto letak batu pertama bangun seaworld indonesia tahun tanggal juni seaworld indonesia mulai operasi area seaworld luas hektare luas bangun utama m isi bagai macam akuarium lorong antasena lorong bawah air pustaka museum terapi ikan dokter glow theatre komputer edukatif layar sentuh isi informasi bagai spesies seaworld macam fasilitas lengkap unjung tempat makan toko suvenir ruang serba taman hibur
28,Wisata Agro Edukatif Istana Susu Cibugary,Taman Hiburan,Jakarta,0.5652173913043481,kawasan wisata agro edukatif istana susu cibugary cibubur garden dairy rupa suatu kawasan agro terna sapi perah nuansa kebun taman wisata edukasi cibubur garden dairy cibugary rupa salah wisata edukasi mati siswa sekolah edukasi kenal terna sapi beri alam lupa siswa sekolah giat edukasi terlalu banyak senang sangat suka siswa sekolah wisata edukasi tambah ilmu alam cara langsung siswa sekolah paket wisata edukatif istana susu cibugary harga rp rp per orang harga sebut masuk beberapa botol susu pasteurisasi goodybag cibugary taman hibur
29,Wisata Kuliner Pecenongan,Pusat Perbelanjaan,Jakarta,1.0000000000000004,pecenongan rupa salah satu surga kuliner jakarta pusat kenal sejak zaman jakarta nama kota batavia kawasan dagang kaki lima jaja kuliner pinggir jalan tahun tahun kawasan pecenongan makin ramai rumah makanrumah makan mulai bangun kawasan pecenongan cocok kalian wisata kuliner malam hari agam jenis kuliner buat kamu bingung coba mana lebih tak heran orang pernah coba pergi kuliner sini akan pusat belanja
30,Taman Menteng,Taman Hiburan,Jakarta,0.5652173913043481,taman menteng buah taman lokasi kawasan menteng jakarta pusat taman tempat stadion mentengntaman diri atas lahan luas hektar milik koleksi spesies tanam beda taman menteng milik agam fasilitas dukung taman main anakanak lapang futsal basket unik taman sumur resap bantu serap air hujan tanah taman hibur
31,Wisata Alam Mangrove Angke,Cagar Alam,Jakarta,0.3913043478260869,jangan anggap jakarta wisata alam langsung luncur jakarta utara tepat kamal muara jaring pantai indah kapuk daerah area wisata alam taman wisata mangrove jakarta sekarang beberapa tahun belakang tengah hits kawasan tiga area satu upa suaka margasatwa muara angke tutup umum hutan mangrove milik pemprov dki kurang tarik wisata lanjut taman wisata alam mangrove angke memang rupa area wisata bas konservasi mangrove cagar alam
32,Setu Babakan,Budaya,Jakarta,0.4782608695652177,setu babakan danau babakan letak srengseng sawah camat jagakarsa kotamadya jakarta selatan indonesia dekat depok fungsi bagai pusat kampung budaya betawi suatu area lestari waris budaya jakarta budaya asli betawinperkampungan budaya betawi diri tanggal agustus lalu surat putus gubernur dki nomor tahun keluar gubernur dki jakarta waktu sutiyosonsitu babakan rupa danau buat area hektare akre meter mana air asal sungai ciliwung bagai tempat wisata alternatif warga pengunjungntaman tanam agam pohon buahbuahan mangga palem melinjo rambutan jambu pandan kecapi jamblang krendang gun nangka cimpedak namnam jengkolnbanyak kuliner khas betawi sini kerak telor toge goreng arum manis rujak bebek soto betawi es potong es duren bir pletok nasi uduk nasi ulam lontong sayur dllnwisata budaya saji laim rumahrumah khas betawi jadi macam pertama rumah betawi gudang kandang rumah betawi kebaya bapang tiga rumah joglo hampir rupa rumah khas yogyakartankeseniannya upa lenong tari topeng tanjidor marawis gambang kromong tari lenggang nyai tari narojengnupacara adat kampung betawi setu babakan penganten sunat pindah rumah khatam quran nujuh bulannmayoritas duduk setu babakan betawi program pemda dki baik sarana prasarana akomodasi butuh ruang buka hijau area resap air setu babakan benah diri dukung penuh pemda dkinfungsi setu bukan tempat lestari budaya betawi makin gerus zaman guna bagai tempat alternatif rekreasi lokasi selatan jakarta fungsi utama bagai tampung air resap selatan jakarta budaya
33,Taman Suropati,Taman Hiburan,Jakarta,0.652173913043478,taman suropati awal nama burgemeester bisschopplein nama buah taman jakarta awal nama taman ambil nama wali kota batavia pertama gj bisshop taman rupa pusat kawasan menteng tepat temu tiga jalan utama menteng boulevard jalan teuku umar orange boulevard jalan diponegoro nassau boulevard jalan imam bonjol lapang kini sebut bagai taman suropati sejak tahun ganti lapang bundar luas rencana moojen taman suropati disebutsebut bagai titik nol republik indonesia jadi taman rindang sejak beberapa tahun lalu hias patungpatung karya patung negaranegara diri himpun bangsabangsa asia tenggara taman hibur
34,Pasar Taman Puring,Pusat Perbelanjaan,Jakarta,0.4782608695652177,taman puring bukan taman cara harfiah sejak eks tahun silam taman puring buah pasar lama bertahuntahun pasar sempat jadi pasar gelap alias pasar barangbarang ilegal tahun an pasar makin jauh masyarakat jadi sentra barangbarang hasil tindak kriminal sejak bakar pasar taman puring perlahan benah diri hingga sekarang jadi destinasi belanja akhir pekan favorit warga jakarta ratus kios sepatu pria mulai sepatu kulit sepatu gunung sepatu futsal hingga sepatu gaul khas anak muda agam merk mulai adidas caterpillar nike karrimor vans hingga converse sedia bagai model warna pusat belanja
35,Grand Indonesia Mall,Pusat Perbelanjaan,Jakarta,0.7391304347826089,grand indonesia rupa mal jakarta mal buka tahun presiden susilo bambang yudhoyono tahun hotel indonesia alami pugar lanjut buka hotel kelola grup kempinski nama ganti jadi hotel indonesiakempinski pusat belanja
36,Skyrink - Mall Taman Anggrek,Taman Hiburan,Jakarta,0.5652173913043481,salah satu arena ice skating jakarta ice skating taman anggrek area ice skating taman anggrek buat luas meter persegi ice skating megah indonesia taman anggrek megah indonesia megah asiamaka heran banyak sekali unjung datang taman hibur
37,Bumi Perkemahan Cibubur,Taman Hiburan,Jakarta,0.5652173913043481,bumi kemah graha wisata pramuka cibubur buperta cibubur kawasan kemah cibubur ciracas jakarta timur kawasan milik luas hektar berkalikali jadi lokasi laksana jambore nasional sejak tahun buperta cibubur bangun kawasan rupa hutan karet pihak kelola kerja sama tni ad tni au kelola buperta cibuburbuperta cibubur akses terminal kampung rambutan angkut umum jurus kranggan mekarsari jonggol taman hibur
38,Istana Negara Republik Indonesia,Budaya,Jakarta,0.652173913043478,istana negara rupa pusat giat perintah negara banyak kegiatankegiatan sifat negara gelar istana negara giat lantik pejabatpejabat penting negara maupun buka kongres sifat nasional internasional istana negara fungsi lebih fokus giat resmi presiden bagai kantor presiden republik indonesia lansir situs sekretaris negara sesneg istana negara awal bagai diam pribadi warga belanda ja van braam budaya
39,Museum Macan (Modern and Contemporary Art in Nusantara),Budaya,Jakarta,0.5652173913043481,museum seni modern kontemporer nusantara museum macan buah museum seni kebon jeruk jakarta indonesia museum rupa pertama indonesia milik koleksi seni modern kontemporer indonesia internasional budaya
40,Galeri Nasional Indonesia,Budaya,Jakarta,0.652173913043478,galeri nasional indonesia bahasa inggris national gallery of indonesia buah lembaga budaya negara bagai museum seni rupa modern kontemporer sini gedung fungsi bagai tempat pamer helat seni rupa indonesia mancanegara gedung rupa institusi milik perintah bawah menteri didik budaya fungsi galeri nasional indonesia laksana kaji kumpul registrasi awat aman pamer mitra layan edukasi publikasi karya seni rupa lalu fungsi utama lindung kembang manfaat asset seni seni rupa bagai fasilitas didik budaya galeri nasional alamat jalan medan merdeka timur no jakarta pusat budaya
41,Museum Bahari Jakarta,Budaya,Jakarta,0.4782608695652177,museum bahari museum simpan koleksi hubung bahari nelayan bangsa indonesia sabang hingga merauke lokasi seberang labuh sunda kelapa museum salah satu delapan museum bawah awas dinas budaya museum provinsi daerah khusus ibu kota jakarta budaya
42,Museum Seni Rupa dan Kramik,Budaya,Jakarta,0.4782608695652177,museum seni rupa keramik indonesia museum seni rupa keramik buah museum jakarta indonesia museum dedikasi khusus tampil seni rupa tradisional keramik indonesia museum letak sisi timur lapang fatahillah dekat museum sejarah jakarta museum wayang budaya
43,The Escape Hunt,Taman Hiburan,Jakarta,0.4782608695652177,escape hunt salah satu tempat rekreasi lokasi letak jakarta selatan tempat kamu peran bagai orang detektif buah ruang kunci beri waktu jam pecah tekateki perlu khawatir takut sendiri sini kamu ajak hingga teman satu ruang sama pecah kasus bersamasama tarik sekali bukan pertama kali datang tempat kamu tuntun isi data formulir sedia beri briefing pandu game kena jalan cerita temakasus kamu taman hibur
44,Monumen Selamat Datang,Budaya,Jakarta,0.7391304347826089,monumen selamat datang buah monumen letak tengah bundar hotel indonesia jakarta indonesia monumen upa patung pasang manusia sedang genggam bunga lambai tangan patung sebut hadap utara arti sambut orangorang datang arah monumen nasional budaya
45,Jakarta Aquarium dan Safari,Taman Hiburan,Jakarta,0.652173913043478,unjung seaworld ancol mungkin asing seru saksi biota laut puas unjung coba unjung wisata satwa laut unik jakarta aquarium jakarta aquarium tempat areal luas m tawar atraksi wisata laut modern hibur edukatif meski luas seaworld ancol taman rekreasi tawar wahana atraksi tak kalah tarik taman hibur
46,Pulau Semak Daun,Bahari,Jakarta,0.1304347826086958,pulau semak daun rupa salah satu pulau letak gugus pulau ribu cara administratif pulau masuk wilayah kabupaten pulau ribu provinsi dki jakarta bagai daerah tangkar penyu sisik pantai nyaman renang pantai bersih landai pasir putih bebas bulu babi daerah bagus selam snorkeling mula letak jauh pulau pramuka bahari
47,Taman Situ Lembang,Taman Hiburan,Jakarta,0.5652173913043481,taman situ lembang buah taman kota letak pusat jakarta situ arti danau payau sedang lembang nama jalan dekat taman tersebutntaman rupa salah satu taman tua jakarta milik danau kecil air asal sumber air alam taman letak fasilitas arena pancing trek lari arena main anak taman situ lembang keliling rumahrumah kawasan elite menteng taman hibur
48,Taman Ismail Marzuki,Budaya,Jakarta,0.652173913043478,pusat seni jakarta taman ismail marzuki populer sebut taman ismail marzuki tim rupa buah pusat seni budaya lokasi jalan cikini raya jakarta pusat sini letak institut seni jakarta planetarium jakarta tim milik enam teater modern balai pamer galeri gedung arsip bioskop acaraacara seni budaya tunjuk cara rutin pusat seni masuk mentas drama tari wayang musik baca puisi pamer lukis tunjuk film bagai jenis seni tradisional kontemporer baik rupa tradisi asli indonesia maupun luar negeri temu tempat nama pusat seni asal nama cipta lagu kenal indonesia ismail marzuki budaya
49,Galeri Indonesia Kaya,Budaya,Jakarta,0.8260869565217388,galeri indonesia kaya singkat gik ruang publik madu konsep edukasi digital tuju kenal apresiasi senibudaya indonesia khusus generasi muda tempat grand indonesia jakarta indonesia galeri indonesia kaya gagas bangun jadi ruang edutainment budaya bas teknologi digital dekat salur kreativitas ekspres generasi muda lingkup tradisi budaya nusantara tempat milik auditorium untuk masyarakat butuh tempat karya budaya
50,Museum Joang 45,Budaya,Jakarta,0.1304347826086958,gedung joang museum joang salah satu museum jakarta kelola laksana dinas pariwisata budaya provinsi dki jakarta museum letak jalan menteng raya lurah kebon sirih camat menteng jakarta pusat museum resmi tahun presiden soeharto laku renovasi budaya
51,Jakarta Planetarium,Taman Hiburan,Jakarta,0.2173913043478257,planetarium observatorium jakarta satu tiga wahana simulasi langit indonesia kuta kalimantan timur surabaya jawa timur planetarium tua letak taman ismail marzuki jakarta planetarium jakarta rupa sarana wisata didik saji tunjuk aga simulasi bintang bendabenda langit unjung ajak embara jagat raya paham konsepsi alam semesta lalu acara acara planetarium jakarta diri tahun prakarsa presiden soekarno serah perintah provinsi dki jakarta tempat sedia ruang pamer benda benda angkasa suguh bagai foto terang lengkap bagai bentuk galaksi teoriteori bentuk galaksi kenal tokohtokoh balik muncul teori taman hibur
52,Kampung Cina,Budaya,Jakarta,0.5652173913043481,kampung china huni kawasan dagang cibubur jakarta timur wilayah diri berkat kerja sama perintah kota jakarta timur usaha asing sulap area hektare kawasan wisata cibubur jadi kota wisata mandiri town center kutip buku ensiklopedia jakarta kampung mulai operasi tanggal september bangun nuansa alam pernakpernik jual bau seni china semua produk jajah asal negeri tirai bambu sebut wilayah jadi tuju wisata tiap raya hari raya imlek budaya
53,Rumah Sipitung,Budaya,Jakarta,0.5652173913043481,rumah si pitung marunda jakarta utara indonesia rupa satu sedikit rumah panggung betawi sisa rumah panggung rupa representasi huni panggung masyarakat betawi tinggal wilayahwilayah pesisir rumah jadi museum masuk cagar budaya tahu kapan persis rumah si pitung diri kira bangun sebut bangun abad rumah panggung sering sebut rumah tinggi marunda mirip rumah tradisional suku bugis rumah tadi milik haji saipudin orang saudagar kaya bandar ikan asal makassar sumber kata haji saipudin juragan sero konglomerat kapal haji saipuddin yakin rupa sahabat erat si pitung pitung tengara beberapa kali singgah rumah kira dasawarsa an singgah si pitung akhir kali rangka sembunyi kejar tentara belanda tuduh rampok perintah dki jakarta pertama kali pugar rumah panggung topang buah tiang tahun tahun sama bangun beli pemprov dki jakarta turun ahli waris h saipudin bangun sebut kini jadi museum masuk cagar budaya dasar sk gubernur no tahun sk menteri nom lembaga beri nama rumah asli betawi pesisir bagai rumah si pitung museum nasional budaya
54,Taman Agrowisata Cilangkap,Taman Hiburan,Jakarta,0.304347826086957,taman luas hektar milik perintah provinsi pemprov dki jakarta kelola dinas tani hutan dki taman wisata agro cilangkap letak jalan raya cilangkap no jakarta timur taman asa permai tumbuh aneka jenis pohon rindang sejuk udara jauh polusi asap kendara motor nikmat taman jadi alternatif destinasi wisata warga domisili kawasan sebut taman wisata agro cilangkap lengkap beberapa fasilitas arena olahraga jogging track arena main anak sobat ayojakarta milik hobi pancing area taman milik danau biasa jadi area pancing taman hibur
55,Klenteng Jin De Yuan,Tempat Ibadah,Jakarta,0.5652173913043481,kelenteng kim tek le lebih kenal kelenteng jin de yuan bangun sejak kelenteng disebutsebut bagai tua jakarta diri orang letnan tionghoa kwee hoen awal nama koan im teng jin de yuan kenal bagai salah satu empat kelenteng besar kelola kong koan dewan tionghoa kelenteng goenoeng sari kelenteng toa peh kong kelenteng jin de yuan sendiri kelenteng hian thian shang tanah tandjoeng kini musnah tempat ibadah
56,Pantai Ancol,Bahari,Jakarta,0.4782608695652177,pantai ancol rupa kawasan wisata rupa destinasi wisata pantai kota jakarta wisatawan nikmat suasana segar pantai lagoon festival indah beach pool carnaval danau impi libur alam buka percaya milik efek tenang senang panjang garis pantai kurang lebih km jadi tempat bagai aktivitas wisata wisata pantai rupa bumd hasil asli daerah besar provinsi dki jakarta bahari
57,Taman Lapangan Banteng,Taman Hiburan,Jakarta,0.7391304347826089,lapang banteng dulu nama waterlooplein bahasa belanda plein lapang suatu lapang letak weltevreden batavia jauh gereja katedral jakarta masa lapang banteng kenal sebut lapang singa tengah pancang tugu ingat menang tempur waterloo patung singa atas tempur waterloo sebut jadi tanggal juni dekat kota waterloo km arah selatan ibu kota belgia brussels tempur rupa tempur akhir napoleon lawan pasu gabung inggrisbelandajerman tempur catat sejarah bagai tutup ratus hari sejak lari napoleon asing pulau elba sedang tugu singa sebut diri zaman perintah duduk tentara jepang indonesia merdeka nama ganti jadi lapang banteng mungkin zaman tempat kini jadi lapang huni bagai macam satwa liar macan kijang banteng waktu jp coen bangun kota batavia dekat muara ciliwung lapang sebut keliling upa hutan belantara berpayapaya belah timur jalan lapang banteng timur tedapat kantor satlantas polres jakarta pusat taman hibur
58,Taman Ayodya,Taman Hiburan,Jakarta,0.4782608695652177,taman ayodya dulu nama taman barito buah taman kota jakarta selatan taman lokasi atas lahan luas m lengkap kolam buat luas m tengahnyantaman ayodya lengkap jalur pijak kursi gazebo pendopo kamar mandi trek jogging dekat taman hotel pasar hotel gran mahakam plaza blok m pasar burung barito mal kebayoran baru pasar taman puringntaman bahan taman langsat menyebrang jalan raya taman hibur
